ORIGINAL	TRANSLATED
Hear you, sir; What is the reason that you use me thus? I loved you ever: but it is no matter; Let Hercules himself do what he may, The cat will mew and dog will have his day. (Exit.)	Listen, sir. Why are you treating me like this? I have always loved you, but it doesn't matter anymore. Even if Hercules himself tried to change things, a cat will still meow and a dog will still have its day. (Leaves.)

I pray you, good Horatio, wait upon him. (Exit Horatio.)	Please, Horatio, do me a favor and stay with him.

(To Laertes.)	Thrift, thrift, Horatio! The funeral baked meats
Did coldly furnish forth the marriage tables.

Strengthen your patience in our last night’s speech; We’ll put the matter to the present push.	Be patient and remember what we talked about last night; we'll bring this to a head now.

Good Gertrude, set some watch over your son.	Good Gertrude, keep an eye on your son.

This grave shall have a living monument: An hour of quiet shortly shall we see; Till then, in patience our proceeding be. (Exeunt.)	This grave will have a lasting memorial. We will have a peaceful moment soon. Until then, let's proceed with patience. (They exit.)

So much for this, sir: now shall you see the other; You do remember all the circumstance?	That's enough about this, sir. Now you'll see the other thing. Do you remember everything that happened?

Remember it, my lord?	Do you remember it, sir?

Sir, in my heart there was a kind of fighting, That would not let me sleep: methought I lay Worse than the mutines in the bilboes. Rashly, And praised be rashness for it, let us know, Our indiscretion sometimes serves us well, When our deep plots do pall: and that should teach us There’s a divinity that shapes our ends, Rough-hew them how we will—	Sir, I felt a kind of inner turmoil that kept me awake. I felt worse than mutineers in chains. Impulsively – and thank goodness for that impulsiveness – we should realize that our recklessness sometimes helps us when our careful plans fail. And that should teach us that there is a God who guides our destinies, no matter how roughly we try to shape them ourselves.

That is most certain.	That's absolutely true.

Up from my cabin, My sea-gown scarf’d about me, in the dark Groped I to find out them; had my desire, Finger’d their packet, and in fine withdrew To mine own room again; making so bold, My fears forgetting manners, to unseal Their grand commission; where I found, Horatio— O royal knavery!—an exact command, Larded with many several sorts of reasons Importing Denmark’s health and England’s too, With, ho! such bugs and goblins in my life, That, on the supervise, no leisure bated, No, not to stay the grinding of the axe, My head should be struck off.	I got up from my room, wrapped my sea cloak around me, and in the dark I felt my way to find them. I found what I was looking for, grabbed their package, and then went back to my room. I forgot my manners, ignoring my fear, and dared to open their important orders. Inside, Horatio, I found—what royal treachery!—a clear order, filled with many different kinds of reasons claiming it was for the good of Denmark and England, saying that my existence was full of such threats and dangers, that upon inspection, without any delay, not even time to sharpen the axe, my head should be cut off.

Is’t possible?	Is that possible?

Here’s the commission: read it at more leisure. But wilt thou hear me how I did proceed?	Here are your orders: read them later at your convenience. But do you want to hear how I handled things?

I beseech you.	I beg you.

Being thus be-netted round with villainies— Ere I could make a prologue to my brains, They had begun the play—I sat me down, Devised a new commission, wrote it fair: I once did hold it, as our statists do, A baseness to write fair and labour’d much How to forget that learning, but, sir, now It did me yeoman’s service: wilt thou know The effect of what I wrote?	Being completely surrounded by evil plots— before I could even start thinking clearly, they had already begun to act—I sat down and wrote a new order, wrote it clearly and carefully. I used to think, like politicians do, that writing neatly was beneath me and tried hard to unlearn it, but now it was extremely useful to me. Do you want to know what I wrote?

Ay, good my lord.	Yes, my good lord.

An earnest conjuration from the king, As England was his faithful tributary, As love between them like the palm might flourish, As peace should still her wheaten garland wear And stand a comma ’tween their amities, And many such-like “As”es of great charge, That, on the view and knowing of these contents, Without debatement further, more or less, He should the bearers put to sudden death, Not shriving-time allow’d.	A serious order from the king, because England was loyal to him, because their friendship could grow like a palm tree, because peace should always be between them, and many similar important reasons, that, after reading this letter, without any further discussion, he should immediately kill the people who bring it, not even allowing them time for confession.

How was this seal’d?	How was this confirmed?

Why, even in that was heaven ordinant. I had my father’s signet in my purse, Which was the model of that Danish seal; Folded the writ up in form of the other, Subscribed it, gave’t the impression, placed it safely, The changeling never known. Now, the next day Was our sea-fight; and what to this was sequent Thou know’st already.	Well, even in that, heaven was in control. I had my father’s signet ring in my pocket, which was the exact design of the Danish seal. I folded the order to match the other one, signed it, stamped it with the seal, and put it back securely, and the switch was never noticed. The next day was our sea battle, and you already know what happened after that.

So Guildenstern and Rosencrantz go to’t.	So Guildenstern and Rosencrantz are going to do it.

Why, man, they did make love to this employment; They are not near my conscience; their defeat Does by their own insinuation grow: ’Tis dangerous when the baser nature comes Between the pass and fell incensed points Of mighty opposites.	Well, they were asking for it; I don't feel guilty about them at all. Their downfall is their own fault. It's dangerous when someone inferior interferes in a fight between powerful enemies.
